id,person_id,route_id,date_delivered,leaflet_id,leaflet_count,is_skipped,response,responded_at,leaflets_delivered,leaflets_leftover,building_contact_name,building_contact_email,building_contact_phone,building_contact_is_deliverer,created_at,updated_at,comm_pre_distribution_reminder_sent_at,comm_completion_followup_sent_at
1ac1e265-4570-44e4-8302-6b5ace053e99,,c5bbf716-b15f-4ec9-85cb-e11d5613b705,,c291cb16-72e4-44a7-a5f7-830d575b39c3,46,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
1e13817e-cf2e-45b3-b37b-39afddc2efcf,,a5460496-20b9-4e71-9a21-f9178f3f4a44,,c291cb16-72e4-44a7-a5f7-830d575b39c3,25,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
1ee6a784-5518-45cb-9945-f0613ed5fb8b,,8b4e0e49-8a89-410e-83b7-722aa3c2c67c,,c291cb16-72e4-44a7-a5f7-830d575b39c3,50,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
21fd2e06-04cb-429c-a03a-d0cf969b0ace,,7afb6644-a2ad-4230-9388-3d3c3658f695,,c291cb16-72e4-44a7-a5f7-830d575b39c3,15,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
21fdb9a9-6a24-42fb-b688-abf4ea3fefb2,,9da2a05d-806e-4419-8678-e923c2b1fdc0,,c291cb16-72e4-44a7-a5f7-830d575b39c3,40,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
227aa367-4e41-4225-9804-c29fb8831c4b,,1905c802-1566-491f-8bce-2236873fe958,,c291cb16-72e4-44a7-a5f7-830d575b39c3,50,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
23cfa6e5-2c36-4e68-a188-2a40542bac5f,,bf64f142-a2cc-4a5f-9cd9-7bc410c7bbd0,,c291cb16-72e4-44a7-a5f7-830d575b39c3,14,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
2539fa36-b43d-49f5-a9f7-2784e2d5939e,,6c055178-854e-478c-8e04-9b6d347a3b33,,c291cb16-72e4-44a7-a5f7-830d575b39c3,0,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
268d809f-2785-4722-8c12-bb0eee883905,,bc6a4c56-145d-42a9-8906-194e25a5a5c7,,c291cb16-72e4-44a7-a5f7-830d575b39c3,8,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
2773aab0-6e6f-4f42-b39a-b27804e346c7,,7703056a-72c1-4b4d-8e7f-baa906581543,,c291cb16-72e4-44a7-a5f7-830d575b39c3,15,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
2ac49eaa-641c-407f-82b5-c86131fa033b,,4ab6f1ca-1cdb-452c-b1ef-bfa4559a4c84,,c291cb16-72e4-44a7-a5f7-830d575b39c3,10,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
32050607-f7f3-4a65-a7bc-a7d604365113,,f87f9fd3-6773-4d17-a072-25681ba09099,,c291cb16-72e4-44a7-a5f7-830d575b39c3,46,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
32ba9991-4aba-4b3e-b8de-e2b8e996fade,,ed1ef53d-5fca-46b7-aa96-a21f2a9df63c,,c291cb16-72e4-44a7-a5f7-830d575b39c3,50,false,pending,,,,,,,false,2026-06-22 17:24:16.772363+00,2026-06-22 20:50:21.415+00,,
